pluto_spin_ini,charon_spin_ini,orbital semimajor axis_ini,eccentricity_ini,pluto_spin_fin,charon_spin_fin,orbital semimajor axis_fin,eccentricity_fin
3.8,2,22,0.5,1,1,17.08930227,2.18E-29
3.7,2,22,0.5,1,1,17.06323325,7.85E-29
3.6,2,22,0.5,1,1,17.03722078,1.01E-27
3.5,2,22,0.5,1,1,17.01119668,-7.25E-29
3.4,2,22,0.5,1,1,16.98519372,9.64E-28
3.3,2,22,0.5,1,1,16.95922871,-7.97E-29
3.2,2,22,0.5,1,1,16.93326655,3.07E-31
3.1,2,22,0.5,1,1,16.90728842,9.62E-28
4.1,2,21.9,0.5,1,1,17.09587211,-1.80E-28
4,2,21.9,0.5,1,1,17.06963477,2.24E-30
3.9,2,21.9,0.5,1,1,17.04341976,2.62E-30
3.8,2,21.9,0.5,1,1,17.0172221,-2.94E-30
3.7,2,21.9,0.5,1,1,16.9910283,-5.47E-22
3.6,2,21.9,0.5,1,1,16.96488842,-1.61E-28
3.5,2,21.9,0.5,1,1,16.93873515,8.21E-28
3.4,2,21.9,0.5,1,1,16.91260251,-1.30E-30
4.3,2,21.8,0.5,1,1,17.07701531,5.54E-22
4.2,2,21.8,0.5,1,1,17.05062712,-6.13E-28
4.1,2,21.8,0.5,1,1,17.02423039,2.47E-29
4,2,21.8,0.5,1,1,16.99784421,2.95E-24
3.9,2,21.8,0.5,1,1,16.97150173,-4.09E-25
3.8,2,21.8,0.5,1,1,16.94519119,9.38E-28
3.7,2,21.8,0.5,1,1,16.91888114,-6.09E-30
4.6,2,21.7,0.5,1,1,17.0853975,1.36E-27
4.5,2,21.7,0.5,1,1,17.05880073,1.48E-29
4.4,2,21.7,0.5,1,1,17.03223562,4.49E-30
4.3,2,21.7,0.5,1,1,17.0056874,2.47E-27
4.2,2,21.7,0.5,1,1,16.97910996,-3.47E-32
4.1,2,21.7,0.5,1,1,16.95262113,1.38E-30
4,2,21.7,0.5,1,1,16.92612182,9.30E-28
4.9,2,21.6,0.5,1,1,17.09479341,7.14E-28
4.8,2,21.6,0.5,1,1,17.06801188,3.16E-26
4.7,2,21.6,0.5,1,1,17.04125158,5.88E-28
4.6,2,21.6,0.5,1,1,17.01451521,-2.94E-31
4.5,2,21.6,0.5,1,1,16.98777806,-1.77E-30
4.4,2,21.6,0.5,1,1,16.96107941,1.04E-27
4.3,2,21.6,0.5,1,1,16.93437454,-1.72E-28
4.2,2,21.6,0.5,1,1,16.907709,3.39E-30
5.1,2,21.5,0.5,1,1,17.07825218,7.27E-27
5,2,21.5,0.5,1,1,17.05129655,1.21E-27
4.9,2,21.5,0.5,1,1,17.02436258,1.04E-27
4.8,2,21.5,0.5,1,1,16.99744582,-8.58E-29
4.7,2,21.5,0.5,1,1,16.97054885,4.85E-28
4.6,2,21.5,0.5,1,1,16.94365686,-6.50E-30
4.5,2,21.5,0.5,1,1,16.91679102,7.64E-32
5.4,2,21.4,0.5,1,1,17.08955926,8.09E-28
5.3,2,21.4,0.5,1,1,17.06240029,-4.72E-28
5.2,2,21.4,0.5,1,1,17.03527184,3.75E-30
5.1,2,21.4,0.5,1,1,17.00815185,-1.98E-27
5,2,21.4,0.5,1,1,16.98105179,1.19E-30
4.9,2,21.4,0.5,1,1,16.95398746,-3.36E-28
4.8,2,21.4,0.5,1,1,16.92691369,3.33E-30
5.6,2,21.3,0.5,1,1,17.07458823,-4.68E-29
5.5,2,21.3,0.5,1,1,17.04725307,-7.64E-28
5.4,2,21.3,0.5,1,1,17.01994057,8.29E-28
5.3,2,21.3,0.5,1,1,16.99263971,3.74E-31
5.2,2,21.3,0.5,1,1,16.96536389,-1.14E-31
5.1,2,21.3,0.5,1,1,16.93810339,-6.49E-30
5,2,21.3,0.5,1,1,16.91087318,-7.37E-30
5.9,2,21.2,0.5,1,1,17.08786881,-3.22E-28
5.8,2,21.2,0.5,1,1,17.06033546,7.47E-26
5.7,2,21.2,0.5,1,1,17.03281555,7.03E-28
5.6,2,21.2,0.5,1,1,17.00531387,-5.29E-28
5.5,2,21.2,0.5,1,1,16.9778381,3.19E-29
5.4,2,21.2,0.5,1,1,16.95037983,7.07E-27
5.3,2,21.2,0.5,1,1,16.92293752,4.44E-28
6.1,2,21.1,0.5,1,1,17.07453086,5.89E-28
6,2,21.1,0.5,1,1,17.04680821,4.22E-30
5.9,2,21.1,0.5,1,1,17.01910751,3.81E-27
5.8,2,21.1,0.5,1,1,16.99141967,1.21E-30
5.7,2,21.1,0.5,1,1,16.96375486,6.85E-30
5.6,2,21.1,0.5,1,1,16.93610622,4.44E-29
5.5,2,21.1,0.5,1,1,16.9084832,6.95E-28
6.4,2,21,0.5,1,1,17.08987719,-2.18E-29
6.3,2,21,0.5,1,1,17.06193691,1.81E-27
6.2,2,21,0.5,1,1,17.03402688,9.22E-28
6.1,2,21,0.5,1,1,17.0061326,4.36E-29
6,2,21,0.5,1,1,16.97825717,-3.89E-28
5.9,2,21,0.5,1,1,16.9504101,-1.37E-29
5.8,2,21,0.5,1,1,16.9225768,-3.21E-27
6.6,2,20.9,0.5,1,1,17.07823919,-6.64E-28
6.5,2,20.9,0.5,1,1,17.05010833,4.67E-28
6.4,2,20.9,0.5,1,1,17.02199704,-6.39E-29
6.3,2,20.9,0.5,1,1,16.9939216,1.23E-29
6.2,2,20.9,0.5,1,1,16.96585089,-2.93E-31
6.1,2,20.9,0.5,1,1,16.93780784,5.11E-29
6,2,20.9,0.5,1,1,16.90978604,-1.74E-28
6.9,2,20.8,0.5,1,1,17.095719,1.18E-27
6.8,2,20.8,0.5,1,1,17.06737202,-2.89E-29
6.7,2,20.8,0.5,1,1,17.0390552,-2.11E-31
6.6,2,20.8,0.5,1,1,17.01075492,3.73E-30
6.5,2,20.8,0.5,1,1,16.98247565,7.87E-28
6.4,2,20.8,0.5,1,1,16.95421183,-1.22E-32
6.3,2,20.8,0.5,1,1,16.92597204,1.05E-29
7.1,2,20.7,0.5,1,1,17.0858502,5.65E-28
7,2,20.7,0.5,1,1,17.05731247,4.27E-29
6.9,2,20.7,0.5,1,1,17.02879131,3.76E-30
6.8,2,20.7,0.5,1,1,17.00029046,-7.34E-30
6.7,2,20.7,0.5,1,1,16.97180914,-1.72E-27
6.6,2,20.7,0.5,1,1,16.9433582,-3.50E-28
6.5,2,20.7,0.5,1,1,16.91492393,6.56E-28
7.3,2,20.6,0.5,1,1,17.07678912,4.39E-28
7.2,2,20.6,0.5,1,1,17.04805174,-1.87E-30
7.1,2,20.6,0.5,1,1,17.01932968,-1.43E-28
7,2,20.6,0.5,1,1,16.99063529,7.81E-28
6.9,2,20.6,0.5,1,1,16.96195537,3.01E-29
6.8,2,20.6,0.5,1,1,16.93330352,-3.88E-29
6.7,2,20.6,0.5,1,1,16.90465703,-3.85E-28
7.6,2,20.5,0.5,1,1,17.09752675,-5.07E-30
7.5,2,20.5,0.5,1,1,17.06856939,-1.11E-28
7.4,2,20.5,0.5,1,1,17.03962469,-3.91E-28
7.3,2,20.5,0.5,1,1,17.01069393,-4.89E-29
7.2,2,20.5,0.5,1,1,16.98179173,-2.18E-30
7.1,2,20.5,0.5,1,1,16.95290914,-1.11E-28
7,2,20.5,0.5,1,1,16.92405481,-1.25E-28
7.8,2,20.4,0.5,1,1,17.09035155,1.33E-28
7.7,2,20.4,0.5,1,1,17.0611776,1.33E-33
7.6,2,20.4,0.5,1,1,17.03202485,3.23E-30
7.5,2,20.4,0.5,1,1,17.00290513,8.12E-28
7.4,2,20.4,0.5,1,1,16.97378785,-1.48E-25
7.3,2,20.4,0.5,1,1,16.9447027,8.40E-28
7.2,2,20.4,0.5,1,1,16.9156366,-2.11E-26
8,2,20.3,0.5,1,1,17.08404509,-6.01E-28
7.9,2,20.3,0.5,1,1,17.05466703,-2.19E-28
7.8,2,20.3,0.5,1,1,17.02529825,3.86E-28
7.7,2,20.3,0.5,1,1,16.99595696,-3.61E-28
7.6,2,20.3,0.5,1,1,16.96664539,-9.23E-29
7.5,2,20.3,0.5,1,1,16.93734459,-2.56E-29
7.4,2,20.3,0.5,1,1,16.90806365,1.69E-28
8.2,2,20.2,0.5,1,1,17.07862518,1.39E-27
8.1,2,20.2,0.5,1,1,17.04903228,3.45E-30
8,2,20.2,0.5,1,1,17.01944566,-3.86E-28
7.9,2,20.2,0.5,1,1,16.98989829,-1.30E-27
7.8,2,20.2,0.5,1,1,16.96036576,5.36E-30
7.7,2,20.2,0.5,1,1,16.93084714,9.83E-28
7.6,2,20.2,0.5,1,1,16.90136377,-1.37E-31
8.4,2,20.1,0.5,1,1,17.07411002,-2.76E-27
8.3,2,20.1,0.5,1,1,17.04428422,-1.33E-26
8.2,2,20.1,0.5,1,1,17.01449462,-8.02E-30
8.1,2,20.1,0.5,1,1,16.98471835,-2.40E-28
8,2,20.1,0.5,1,1,16.95496538,5.61E-22
7.9,2,20.1,0.5,1,1,16.92524332,-1.93E-28
8.6,2,20,0.5,1,1,17.07050387,-1.23E-30
8.5,2,20,0.5,1,1,17.0404655,-9.68E-30
8.4,2,20,0.5,1,1,17.0104489,8.74E-28
8.3,2,20,0.5,1,1,16.98046039,-8.68E-25
8.2,2,20,0.5,1,1,16.95049032,6.32E-30
8.1,2,20,0.5,1,1,16.92054208,9.88E-28
8.9,2,19.9,0.5,1,1,17.09812145,1.40E-25
