pluto_spin_ini,charon_spin_ini,orbital semimajor axis_ini,eccentricity_ini,pluto_spin_fin,charon_spin_fin,orbital semimajor axis_fin,eccentricity_fin,,,,,,,,,,,
5.6,2,15.7,0.2,1,1,16.99549637,-1.30E-29,,,,,,,,,,,
5.5,2,15.7,0.2,1,1,16.95239752,-2.20E-28,,,,,,,,,,,
5.4,2,15.7,0.2,1,1,16.9093424,2.15E-30,,,,,,,,,,,
6,2,15.6,0.2,1,1,17.08764681,-6.62E-30,,,,,,,,,,,
5.9,2,15.6,0.2,1,1,17.04403283,1.34E-30,,,,,,,,,,,
5.8,2,15.6,0.2,1,1,17.00046475,-1.97E-28,,,,,,,,,,,
5.7,2,15.6,0.2,1,1,16.95694523,-2.04E-28,,,,,,,,,,,
5.6,2,15.6,0.2,1,1,16.91347413,1.09E-30,,,,,,,,,,,
6.2,2,15.5,0.2,1,1,17.09521112,-7.50E-33,,,,,,,,,,,
6.1,2,15.5,0.2,1,1,17.05115979,-2.07E-28,,,,,,,,,,,
6,2,15.5,0.2,1,1,17.00716366,-6.70E-31,,,,,,,,,,,
5.9,2,15.5,0.2,1,1,16.96321537,1.41E-29,,,,,,,,,,,
5.8,2,15.5,0.2,1,1,16.91931577,5.58E-28,,,,,,,,,,,
6.3,2,15.4,0.2,1,1,17.06007722,-1.53E-30,,,,,,,,,,,
6.2,2,15.4,0.2,1,1,17.01564515,-1.17E-28,,,,,,,,,,,
6.1,2,15.4,0.2,1,1,16.97125414,-1.94E-30,,,,,,,,,,,
6,2,15.4,0.2,1,1,16.92691868,2.95E-28,,,,,,,,,,,
6.5,2,15.3,0.2,1,1,17.07084011,-1.87E-30,,,,,,,,,,,
6.4,2,15.3,0.2,1,1,17.02594987,3.56E-27,,,,,,,,,,,
6.3,2,15.3,0.2,1,1,16.98111712,-3.01E-26,,,,,,,,,,,
6.2,2,15.3,0.2,1,1,16.93633379,-1.24E-22,,,,,,,,,,,
6.7,2,15.2,0.2,1,1,17.08347935,1.38E-27,,,,,,,,,,,
6.6,2,15.2,0.2,1,1,17.03813966,-4.12E-28,,,,,,,,,,,
6.5,2,15.2,0.2,1,1,16.99284873,6.47E-28,,,,,,,,,,,
6.4,2,15.2,0.2,1,1,16.94760012,3.20E-30,,,,,,,,,,,
6.3,2,15.2,0.2,1,1,16.90241786,-1.69E-30,,,,,,,,,,,
6.9,2,15.1,0.2,1,1,17.09806206,-1.47E-29,,,,,,,,,,,
6.8,2,15.1,0.2,1,1,17.05225204,1.69E-29,,,,,,,,,,,
6.7,2,15.1,0.2,1,1,17.00649474,7.32E-28,,,,,,,,,,,
6.6,2,15.1,0.2,1,1,16.9607928,-2.91E-29,,,,,,,,,,,
6.5,2,15.1,0.2,1,1,16.91514122,9.17E-28,,,,,,,,,,,
7,2,15,0.2,1,1,17.06835304,4.83E-28,,,,,,,,,,,
6.9,2,15,0.2,1,1,17.02211899,1.21E-27,,,,,,,,,,,
6.8,2,15,0.2,1,1,16.97593911,-4.69E-29,,,,,,,,,,,
6.7,2,15,0.2,1,1,16.92981281,1.76E-29,,,,,,,,,,,
7.2,2,14.9,0.2,1,1,17.08649797,-2.13E-28,,,,,,,,,,,
7.1,2,14.9,0.2,1,1,17.03977652,1.41E-27,,,,,,,,,,,
7,2,14.9,0.2,1,1,16.99311012,4.99E-33,,,,,,,,,,,
6.9,2,14.9,0.2,1,1,16.9464986,-1.54E-31,,,,,,,,,,,
7.3,2,14.8,0.2,1,1,17.05952485,8.42E-28,,,,,,,,,,,
7.2,2,14.8,0.2,1,1,17.01236204,2.25E-25,,,,,,,,,,,
7.1,2,14.8,0.2,1,1,16.96525479,2.83E-28,,,,,,,,,,,
7,2,14.8,0.2,1,1,16.91820363,1.16E-30,,,,,,,,,,,
7.5,2,14.7,0.2,1,1,17.08142582,-2.07E-28,,,,,,,,,,,
7.4,2,14.7,0.2,1,1,17.03375514,-3.85E-27,,,,,,,,,,,
7.3,2,14.7,0.2,1,1,16.98614044,-9.40E-29,,,,,,,,,,,
7.2,2,14.7,0.2,1,1,16.93858387,9.41E-28,,,,,,,,,,,
7.6,2,14.6,0.2,1,1,17.0573519,5.15E-31,,,,,,,,,,,
7.5,2,14.6,0.2,1,1,17.00922015,-1.47E-29,,,,,,,,,,,
7.4,2,14.6,0.2,1,1,16.96114589,-1.86E-27,,,,,,,,,,,
7.3,2,14.6,0.2,1,1,16.91313018,3.35E-29,,,,,,,,,,,
7.8,2,14.5,0.2,1,1,17.08321918,2.74E-25,,,,,,,,,,,
7.7,2,14.5,0.2,1,1,17.03455706,-1.83E-29,,,,,,,,,,,
7.6,2,14.5,0.2,1,1,16.98595421,8.89E-28,,,,,,,,,,,
7.5,2,14.5,0.2,1,1,16.9374109,-7.93E-27,,,,,,,,,,,
7.9,2,14.4,0.2,1,1,17.06221982,-8.56E-25,,,,,,,,,,,
7.8,2,14.4,0.2,1,1,17.01307677,-4.35E-28,,,,,,,,,,,
7.7,2,14.4,0.2,1,1,16.96399338,-1.80E-28,,,,,,,,,,,
7.6,2,14.4,0.2,1,1,16.91497096,3.81E-30,,,,,,,,,,,
8.1,2,14.3,0.2,1,1,17.09227929,-3.05E-29,,,,,,,,,,,
8,2,14.3,0.2,1,1,17.04258232,-3.75E-30,,,,,,,,,,,
7.9,2,14.3,0.2,1,1,16.99294692,5.11E-29,,,,,,,,,,,
7.8,2,14.3,0.2,1,1,16.9433736,9.51E-28,,,,,,,,,,,
8.2,2,14.2,0.2,1,1,17.07454407,4.44E-31,,,,,,,,,,,
8.1,2,14.2,0.2,1,1,17.02434367,-1.51E-28,,,,,,,,,,,
8,2,14.2,0.2,1,1,16.97420631,-3.00E-30,,,,,,,,,,,
7.9,2,14.2,0.2,1,1,16.9241333,-1.48E-30,,,,,,,,,,,
8.3,2,14.1,0.2,1,1,17.05825915,2.65E-30,,,,,,,,,,,
8.2,2,14.1,0.2,1,1,17.00754459,8.21E-28,,,,,,,,,,,
8.1,2,14.1,0.2,1,1,16.9568958,1.77E-31,,,,,,,,,,,
8,2,14.1,0.2,1,1,16.90631059,-1.46E-29,,,,,,,,,,,
8.5,2,14,0.2,1,1,17.09476317,-5.30E-28,,,,,,,,,,,
8.4,2,14,0.2,1,1,17.04346098,-1.58E-27,,,,,,,,,,,
8.3,2,14,0.2,1,1,16.99221314,6.60E-28,,,,,,,,,,,
8.2,2,14,0.2,1,1,16.94104023,3.40E-33,,,,,,,,,,,
8.6,2,13.9,0.2,1,1,17.0820561,-2.12E-31,,,,,,,,,,,
8.5,2,13.9,0.2,1,1,17.03020168,-5.99E-30,,,,,,,,,,,
8.4,2,13.9,0.2,1,1,16.97842692,1.35E-29,,,,,,,,,,,
8.3,2,13.9,0.2,1,1,16.92671288,6.53E-28,,,,,,,,,,,
8.7,2,13.8,0.2,1,1,17.07092347,-1.28E-21,,,,,,,,,,,
8.6,2,13.8,0.2,1,1,17.01853525,6.33E-28,,,,,,,,,,,
8.5,2,13.8,0.2,1,1,16.96621404,-4.02E-26,,,,,,,,,,,
8.4,2,13.8,0.2,1,1,16.91394884,-9.67E-31,,,,,,,,,,,
8.8,2,13.7,0.2,1,1,17.06145919,-4.68E-29,,,,,,,,,,,
8.7,2,13.7,0.2,1,1,17.00851276,-2.14E-30,,,,,,,,,,,
8.6,2,13.7,0.2,1,1,16.95559975,-1.02E-28,,,,,,,,,,,
8.5,2,13.7,0.2,1,1,16.90279405,-2.18E-28,,,,,,,,,,,
8.9,2,13.6,0.2,1,1,17.05367317,-2.28E-30,,,,,,,,,,,
8.8,2,13.6,0.2,1,1,17.00013219,1.86E-33,,,,,,,,,,,
8.7,2,13.6,0.2,1,1,16.94667292,-8.98E-30,,,,,,,,,,,
9,2,13.5,0.2,1,1,17.04759262,-1.01E-28,,,,,,,,,,,
8.9,2,13.5,0.2,1,1,16.99347108,-1.15E-30,,,,,,,,,,,
8.8,2,13.5,0.2,1,1,16.93945786,-2.89E-28,,,,,,,,,,,
9.2,2,13.4,0.2,1,1,17.09813334,-2.67E-30,,,,,,,,,,,
9.1,2,13.4,0.2,1,1,17.04333084,9.25E-28,,,,,,,,,,,
9,2,13.4,0.2,1,1,16.98862666,1.49E-30,,,,,,,,,,,
8.9,2,13.4,0.2,1,1,16.93397908,-2.32E-32,,,,,,,,,,,
9.3,2,13.3,0.2,1,1,17.09632709,1.20E-21,,,,,,,,,,,
9.2,2,13.3,0.2,1,1,17.04093784,-4.36E-33,,,,,,,,,,,
9.1,2,13.3,0.2,1,1,16.98561558,-1.87E-28,,,,,,,,,,,
9,2,13.3,0.2,1,1,16.9303405,-9.82E-30,,,,,,,,,,,
9.4,2,13.2,0.2,1,1,17.09648036,1.36E-30,,,,,,,,,,,
9.3,2,13.2,0.2,1,1,17.04041413,-6.25E-31,,,,,,,,,,,
9.2,2,13.2,0.2,1,1,16.98446155,-4.52E-28,,,,,,,,,,,
9.1,2,13.2,0.2,1,1,16.92858526,9.04E-28,,,,,,,,,,,
9.5,2,13.1,0.2,1,1,17.09856266,-3.62E-28,,,,,,,,,,,
9.4,2,13.1,0.2,1,1,17.04187752,1.37E-26,,,,,,,,,,,
9.3,2,13.1,0.2,1,1,16.98529745,-8.64E-29,,,,,,,,,,,
9.2,2,13.1,0.2,1,1,16.92875847,5.92E-31,,,,,,,,,,,
9.5,2,13,0.2,1,1,17.04538794,4.60E-28,,,,,,,,,,,
9.4,2,13,0.2,1,1,16.98812453,2.23E-30,,,,,,,,,,,
9.3,2,13,0.2,1,1,16.93096195,3.80E-30,,,,,,,,,,,
9.6,2,12.9,0.2,1,1,17.05097547,-8.24E-32,,,,,,,,,,,
9.5,2,12.9,0.2,1,1,16.99306035,-1.13E-27,,,,,,,,,,,
9.4,2,12.9,0.2,1,1,16.93516979,-6.34E-31,,,,,,,,,,,
9.7,2,12.8,0.2,1,1,17.05870491,1.20E-27,,,,,,,,,,,
9.6,2,12.8,0.2,1,1,17.00007577,4.56E-28,,,,,,,,,,,
9.5,2,12.8,0.2,1,1,16.94152799,4.72E-34,,,,,,,,,,,
9.8,2,12.7,0.2,1,1,17.06869267,5.64E-30,,,,,,,,,,,
9.7,2,12.7,0.2,1,1,17.00935032,4.13E-29,,,,,,,,,,,
9.6,2,12.7,0.2,1,1,16.95009352,-1.32E-28,,,,,,,,,,,
9.9,2,12.6,0.2,1,1,17.08097555,9.77E-26,,,,,,,,,,,
9.8,2,12.6,0.2,1,1,17.02091994,6.13E-27,,,,,,,,,,,
9.7,2,12.6,0.2,1,1,16.96094306,1.32E-30,,,,,,,,,,,
9.6,2,12.6,0.2,1,1,16.90105096,-4.24E-28,,,,,,,,,,,
10,2,12.5,0.2,1,1,17.09565106,1.24E-27,,,,,,,,,,,
9.9,2,12.5,0.2,1,1,17.03485471,1.27E-27,,,,,,,,,,,
9.8,2,12.5,0.2,1,1,16.97411774,8.69E-28,,,,,,,,,,,
9.7,2,12.5,0.2,1,1,16.913483,-4.16E-27,,,,,,,,,,,
10,2,12.4,0.2,1,1,17.05122945,7.07E-28,,,,,,,,,,,
9.9,2,12.4,0.2,1,1,16.98975533,1.24E-29,,,,,,,,,,,
9.8,2,12.4,0.2,1,1,16.92837428,-6.20E-34,,,,,,,,,,,
10,2,12.3,0.2,1,1,17.00784768,-2.19E-27,,,,,,,,,,,
9.9,2,12.3,0.2,1,1,16.94571221,1.04E-32,,,,,,,,,,,
10,2,12.2,0.2,1,1,16.96565362,-9.62E-28,,,,,,,,,,,
9.9,2,12.2,0.2,1,1,16.90278714,-2.95E-28,,,,,,,,,,,
10.2,2,12.1,0.2,1,1,17.0520011,-3.05E-28,,,,,,,,,,,
10.1,2,12.1,0.2,1,1,16.98822811,-1.75E-27,,,,,,,,,,,
10,2,12.1,0.2,1,1,16.92455762,7.55E-31,,,,,,,,,,,
10.3,2,12,0.2,1,1,17.07815329,-1.44E-30,,,,,,,,,,,
10.2,2,12,0.2,1,1,17.01353606,1.12E-21,,,,,,,,,,,
10.1,2,12,0.2,1,1,16.94902928,1.89E-29,,,,,,,,,,,
10.3,2,11.9,0.2,1,1,17.04179089,-4.81E-28,,,,,,,,,,,
10.2,2,11.9,0.2,1,1,16.97642245,9.16E-28,,,,,,,,,,,
10.1,2,11.9,0.2,1,1,16.91116029,5.41E-29,,,,,,,,,,,
