pluto_spin_ini,charon_spin_ini,orbital semimajor axis_ini,eccentricity_ini,pluto_spin_fin,charon_spin_fin,orbital semimajor axis_fin,eccentricity_fin,,,,,,,,,,,
9,2,6.8,0.2,1,1,16.95315291,6.57E-22,,,,,,,,,,,
8.9,2,6.7,0.2,1,1,16.94627762,1.09E-27,,,,,,,,,,,
8.8,2,6.6,0.2,1,1,16.94275914,-4.39E-29,,,,,,,,,,,
8.7,2,6.5,0.2,1,1,16.94290125,9.84E-28,,,,,,,,,,,
8.6,2,6.4,0.2,1,1,16.94699992,-1.34E-28,,,,,,,,,,,
8.5,2,6.3,0.2,1,1,16.95507177,3.35E-29,,,,,,,,,,,
8.4,2,6.2,0.2,1,1,16.96758528,-4.78E-28,,,,,,,,,,,
8.3,2,6.1,0.2,1,1,16.98455314,8.71E-28,,,,,,,,,,,
8.2,2,6,0.2,1,1,17.00665854,-2.52E-30,,,,,,,,,,,
8.1,2,5.9,0.2,1,1,17.03376601,-5.48E-28,,,,,,,,,,,
8,2,5.8,0.2,1,1,17.06665163,9.91E-29,,,,,,,,,,,
7.8,2,5.7,0.2,1,1,16.90813999,-5.89E-27,,,,,,,,,,,
7.7,2,5.6,0.2,1,1,16.94752556,-4.12E-28,,,,,,,,,,,
7.6,2,5.5,0.2,1,1,16.99334367,-6.37E-30,,,,,,,,,,,
7.5,2,5.4,0.2,1,1,17.04613785,-1.01E-28,,,,,,,,,,,
7.2,2,5.2,0.2,1,1,16.94782657,2.28E-29,,,,,,,,,,,
7.1,2,5.1,0.2,1,1,17.01742256,9.24E-28,,,,,,,,,,,
7,2,5,0.2,1,1,17.09552369,-9.87E-32,,,,,,,,,,,
6,2,4.3,0.2,1,1,17.04051893,-3.08E-29,,,,,,,,,,,
5.7,2,4.1,0.2,1,1,17.01721748,-3.03E-28,,,,,,,,,,,
5.4,2,3.9,0.2,1,1,17.00884904,-4.89E-28,,,,,,,,,,,
5.1,2,3.7,0.2,1,1,17.01697319,-9.75E-27,,,,,,,,,,,
4.8,2,3.5,0.2,1,1,17.04390489,-4.74E-27,,,,,,,,,,,
4.5,2,3.3,0.2,1,1,17.09217267,-2.45E-32,,,,,,,,,,,
4,2,3,0.2,1,1,16.95262074,-2.32E-28,,,,,,,,,,,
3.7,2,2.8,0.2,1,1,17.03959551,1.44E-30,,,,,,,,,,,
2.9,2,2.3,0.2,1,1,17.00147847,2.55E-29,,,,,,,,,,,
