pluto_spin_ini,charon_spin_ini,orbital semimajor axis_ini,eccentricity_ini,pluto_spin_fin,charon_spin_fin,orbital semimajor axis_fin,eccentricity_fin
1.3,2,18.7,0.3,1,1,17.07722702,-2.50E-28
1.2,2,18.7,0.3,1,1,17.04400054,1.20E-27
1.1,2,18.7,0.3,1,1,17.01079526,-4.61E-28
1.6,2,18.6,0.3,1,1,17.0869988,-4.05E-28
1.5,2,18.6,0.3,1,1,17.05350667,1.99E-29
1.4,2,18.6,0.3,1,1,17.02001774,-6.58E-29
1.3,2,18.6,0.3,1,1,16.98657412,-1.46E-27
1.2,2,18.6,0.3,1,1,16.95315596,7.03E-28
1.1,2,18.6,0.3,1,1,16.91976124,4.70E-27
1.9,2,18.5,0.3,1,1,17.09821196,3.21E-22
1.8,2,18.5,0.3,1,1,17.06441993,9.85E-30
1.7,2,18.5,0.3,1,1,17.0306683,-7.99E-30
1.6,2,18.5,0.3,1,1,16.99694526,-3.62E-30
1.5,2,18.5,0.3,1,1,16.96324704,1.78E-29
1.4,2,18.5,0.3,1,1,16.92956596,-9.93E-30
2.1,2,18.4,0.3,1,1,17.07681892,-2.67E-28
2,2,18.4,0.3,1,1,17.0427616,3.10E-30
1.9,2,18.4,0.3,1,1,17.00874116,2.49E-24
1.8,2,18.4,0.3,1,1,16.97475967,7.87E-28
1.7,2,18.4,0.3,1,1,16.94081234,1.86E-29
1.6,2,18.4,0.3,1,1,16.90687908,9.33E-28
2.4,2,18.3,0.3,1,1,17.09069562,-7.94E-29
2.3,2,18.3,0.3,1,1,17.05635581,1.89E-28
2.2,2,18.3,0.3,1,1,17.02205745,6.05E-29
2.1,2,18.3,0.3,1,1,16.98778347,6.84E-28
2,2,18.3,0.3,1,1,16.95352498,1.53E-30
1.9,2,18.3,0.3,1,1,16.91931866,-3.13E-30
2.6,2,18.2,0.3,1,1,17.07147244,-5.97E-29
2.5,2,18.2,0.3,1,1,17.03687027,-1.36E-29
2.4,2,18.2,0.3,1,1,17.00230092,1.76E-29
2.3,2,18.2,0.3,1,1,16.96776255,1.63E-31
2.2,2,18.2,0.3,1,1,16.93325244,-5.73E-30
2.9,2,18.1,0.3,1,1,17.08814593,1.12E-31
2.8,2,18.1,0.3,1,1,17.05323964,7.20E-31
2.7,2,18.1,0.3,1,1,17.01836812,1.18E-27
2.6,2,18.1,0.3,1,1,16.98352701,2.67E-30
2.5,2,18.1,0.3,1,1,16.94871659,-1.21E-30
2.4,2,18.1,0.3,1,1,16.91393885,2.56E-28
3.1,2,18,0.3,1,1,17.07120475,-1.86E-28
3,2,18,0.3,1,1,17.03602724,3.29E-28
2.9,2,18,0.3,1,1,17.00088075,-3.35E-31
2.8,2,18,0.3,1,1,16.96576269,-2.93E-27
