pluto_spin_ini,charon_spin_ini,orbital semimajor axis_ini,eccentricity_ini,pluto_spin_fin,charon_spin_fin,orbital semimajor axis_fin,eccentricity_fin,,,,,,,,
4.9,2,15.5,0.1,1,1,17.03407449,-5.48E-27,,,,,,,,
4.8,2,15.5,0.1,1,1,16.99009913,1.10E-27,,,,,,,,
4.7,2,15.5,0.1,1,1,16.94616968,-1.75E-28,,,,,,,,
4.6,2,15.5,0.1,1,1,16.90228915,-3.41E-28,,,,,,,,
5.2,2,15.4,0.1,1,1,17.08064285,1.76E-29,,,,,,,,
5.1,2,15.4,0.1,1,1,17.03618663,1.28E-28,,,,,,,,
5,2,15.4,0.1,1,1,16.9917772,7.04E-31,,,,,,,,
4.9,2,15.4,0.1,1,1,16.94741716,9.25E-28,,,,,,,,
4.8,2,15.4,0.1,1,1,16.90310704,-2.31E-28,,,,,,,,
5.4,2,15.3,0.1,1,1,17.08493892,1.87E-29,,,,,,,,
5.3,2,15.3,0.1,1,1,17.04003719,9.41E-30,,,,,,,,
5.2,2,15.3,0.1,1,1,16.99518699,1.59E-27,,,,,,,,
5.1,2,15.3,0.1,1,1,16.95039011,2.44E-28,,,,,,,,
5,2,15.3,0.1,1,1,16.90564379,3.87E-28,,,,,,,,
5.6,2,15.2,0.1,1,1,17.09103444,8.81E-22,,,,,,,,
5.5,2,15.2,0.1,1,1,17.04568351,-3.00E-30,,,,,,,,
5.4,2,15.2,0.1,1,1,17.0003844,2.20E-29,,,,,,,,
5.3,2,15.2,0.1,1,1,16.95513574,1.01E-27,,,,,,,,
5.2,2,15.2,0.1,1,1,16.90993976,1.56E-31,,,,,,,,
5.8,2,15.1,0.1,1,1,17.09898165,1.45E-27,,,,,,,,
5.7,2,15.1,0.1,1,1,17.05317055,5.39E-30,,,,,,,,
5.6,2,15.1,0.1,1,1,17.00741235,-1.09E-29,,,,,,,,
5.5,2,15.1,0.1,1,1,16.961707,9.84E-22,,,,,,,,
5.4,2,15.1,0.1,1,1,16.91605447,4.10E-29,,,,,,,,
5.9,2,15,0.1,1,1,17.06255157,9.80E-29,,,,,,,,
5.8,2,15,0.1,1,1,17.01632436,-5.73E-28,,,,,,,,
5.7,2,15,0.1,1,1,16.97015113,1.35E-28,,,,,,,,
5.6,2,15,0.1,1,1,16.92403169,3.55E-27,,,,,,,,
6.1,2,14.9,0.1,1,1,17.0738803,2.97E-31,,,,,,,,
6,2,14.9,0.1,1,1,17.02717387,-7.77E-31,,,,,,,,
5.9,2,14.9,0.1,1,1,16.98052262,1.48E-29,,,,,,,,
5.8,2,14.9,0.1,1,1,16.93392624,-1.34E-30,,,,,,,,
6.3,2,14.8,0.1,1,1,17.08721294,-2.21E-32,,,,,,,,
6.2,2,14.8,0.1,1,1,17.04001677,1.45E-30,,,,,,,,
6.1,2,14.8,0.1,1,1,16.99287674,-1.51E-30,,,,,,,,
6,2,14.8,0.1,1,1,16.94579302,-4.98E-29,,,,,,,,
6.4,2,14.7,0.1,1,1,17.05491067,-9.00E-30,,,,,,,,
