pluto_spin_ini,charon_spin_ini,orbital semimajor axis_ini,eccentricity_ini,pluto_spin_fin,charon_spin_fin,orbital semimajor axis_fin,eccentricity_fin
1.2,2.0,17.0,0.0,1.0,1.0,17.091682406607333,0.0
1.1,2.0,17.0,0.0,1.0,1.0,17.05333587446468,0.0
1.4,2.0,16.9,0.0,1.0,1.0,17.069557915024696,0.0
1.3,2.0,16.9,0.0,1.0,1.0,17.030892502524818,0.0
1.2,2.0,16.9,0.0,1.0,1.0,16.992264438934022,0.0
1.1,2.0,16.9,0.0,1.0,1.0,16.95367420298109,0.0
1.7,2.0,16.8,0.0,1.0,1.0,17.087615216565716,0.0
1.6,2.0,16.8,0.0,1.0,0.9999999999999999,17.048586252604995,0.0
1.5,2.0,16.8,0.0,1.0,1.0,17.0095956881075,0.0
1.4,2.0,16.8,0.0,1.0,1.0,16.970643357207717,0.0
1.3,2.0,16.8,0.0,1.0,1.0,16.931729758018765,0.0
1.9,2.0,16.7,0.0,1.0,1.0,17.068155511105214,0.0
1.8,2.0,16.7,0.0,1.0,1.0,17.02879493398216,0.0
1.7,2.0,16.7,0.0,1.0,1.0,16.98947345445176,0.0
1.6,2.0,16.7,0.0,1.0,0.9999999999999999,16.950191052312185,0.0
1.5,2.0,16.7,0.0,1.0,1.0,16.910947698991997,0.0
2.2,2.0,16.6,0.0,1.0,1.0,17.089649229646316,0.0
2.1,2.0,16.6,0.0,0.9999999999999999,1.0,17.04991123674673,0.0
2.0,2.0,16.6,0.0,1.0,1.0,17.01021292101693,0.0
1.9,2.0,16.6,0.0,1.0,1.0,16.97055439597392,0.0
1.8,2.0,16.6,0.0,1.0,1.0,16.930935637856397,0.0
2.4,2.0,16.5,0.0,1.0,1.0,17.072995176716294,0.0
2.3,2.0,16.5,0.0,1.0,1.0,17.03291214670899,0.0
2.2,2.0,16.5,0.0,1.0,1.0,16.99286982170651,0.0
2.1,2.0,16.5,0.0,1.0,1.0,16.95286807425333,0.0
2.0,2.0,16.5,0.0,1.0,1.0,16.912906699109776,0.0
2.7,2.0,16.4,0.0,1.0,1.0,17.098099341274004,0.0
2.6,2.0,16.4,0.0,1.0,1.0,17.057623783460727,0.0
2.5,2.0,16.4,0.0,1.0,1.0,17.017189606676958,0.0
2.4,2.0,16.4,0.0,1.0,1.0,16.976796684981505,0.0
2.3,2.0,16.4,0.0,1.0,1.0,16.936445010478057,0.0
2.9,2.0,16.3,0.0,1.0,1.0,17.08440164693964,0.0
2.8,2.0,16.3,0.0,1.0,0.9999999999999999,17.043567417774128,0.0
2.7,2.0,16.3,0.0,1.0,1.0,17.002775230333324,0.0
2.6,2.0,16.3,0.0,1.0,1.0,16.96202509302469,0.0
2.5,2.0,16.3,0.0,1.0,1.0,16.92131682962262,0.0
3.1,2.0,16.2,0.0,1.0,1.0,17.07205899094165,0.0
3.0,2.0,16.2,0.0,1.0,1.0,17.030859098305438,0.0
2.9,2.0,16.2,0.0,1.0,1.0,16.98970203983393,0.0
2.8,2.0,16.2,0.0,1.0,1.0,16.948587771934363,0.0
2.7,2.0,16.2,0.0,1.0,1.0,16.90751628121326,0.0
3.3,2.0,16.1,0.0,1.0,1.0,17.06110586861137,0.0
3.2,2.0,16.1,0.0,1.0,1.0,17.019533245672132,0.0
