pluto_spin_ini,charon_spin_ini,orbital semimajor axis_ini,eccentricity_ini,pluto_spin_fin,charon_spin_fin,orbital semimajor axis_fin,eccentricity_fin
1.1,2.0,20.1,0.4,1.0,1.0,17.082051953452197,1.3516501212633294e-27
1.4,2.0,20.0,0.4,1.0,1.0,17.093772785509596,-1.2381704323150315e-28
1.3,2.0,20.0,0.4,1.0,1.0,17.062229677719362,4.90429082758414e-27
1.2,2.0,20.0,0.4,1.0,1.0,17.030707334039537,-1.490996602266755e-28
1.1,2.0,20.0,0.4,1.0,1.0,16.99920175565679,-3.066744960571412e-28
1.6,2.0,19.9,0.4,1.0,1.0,17.075019380437443,1.1817327618855653e-27
1.5,2.0,19.9,0.4,1.0,1.0,17.043241558197852,-8.593626244767641e-30
1.4,2.0,19.9,0.4,1.0,1.0,17.011491500290756,-6.689632595331125e-30
1.3,2.0,19.9,0.4,1.0,1.0,16.97976304727573,3.5903774545362846e-28
1.2,2.0,19.9,0.4,1.0,1.0,16.948055756292515,4.498349328724511e-30
1.1,2.0,19.9,0.4,1.0,1.0,16.916365689667202,2.4409094679209135e-28
1.9,2.0,19.8,0.4,1.0,1.0,17.089129069669358,5.007012645851511e-29
1.8,2.0,19.8,0.4,1.0,1.0,17.057110122282115,1.354864621231192e-27
1.7,2.0,19.8,0.4,1.0,1.0,17.025111888763877,3.553648371185845e-31
1.6,2.0,19.8,0.4,1.0,1.0,16.99313498990366,1.0267239190144265e-27
1.5,2.0,19.8,0.4,1.0,1.0,16.96116927053028,9.848546952981131e-28
1.4,2.0,19.8,0.4,1.0,1.0,16.92923147312838,9.1477207503954e-28
2.1,2.0,19.7,0.4,1.0,1.0,17.072326067495887,1.479805788643934e-27
2.0,2.0,19.7,0.4,1.0,1.0,17.040074128530723,1.9033900091287255e-28
1.9,2.0,19.7,0.4,1.0,0.9999999999999999,17.00784315659014,-5.145646214603574e-29
1.8,2.0,19.7,0.4,1.0,1.0,16.97563328405588,1.0579937654980057e-27
1.7,2.0,19.7,0.4,1.0,1.0,16.9434443567844,8.1011472328000385e-22
1.6,2.0,19.7,0.4,1.0,1.0,16.911276833129495,1.257810454670673e-26
2.4,2.0,19.6,0.4,1.0,1.0,17.088928075823937,-3.802227449402183e-27
2.3,2.0,19.6,0.4,1.0,1.0,17.056417469644245,-7.964410791139179e-29
2.2,2.0,19.6,0.4,1.0,1.0,17.023928973871726,1.2337150952040607e-27
2.1,2.0,19.6,0.4,1.0,0.9999999999999999,16.99146175643594,-4.2201902959727206e-33
2.0,2.0,19.6,0.4,1.0,1.0,16.959015939567994,-2.044410492290613e-28
1.9,2.0,19.6,0.4,1.0,1.0,16.926591343140355,-2.1074721275844123e-28
2.6,2.0,19.5,0.4,1.0,1.0,17.074173038899694,-4.89143513576643e-33
2.5,2.0,19.5,0.4,1.0,1.0,17.041421913578475,2.14536805830756e-26
2.4,2.0,19.5,0.4,1.0,1.0,17.008693320014295,-1.5353769097098797e-25
2.3,2.0,19.5,0.4,1.0,1.0,16.975986296976448,-3.624058329721223e-30
2.2,2.0,19.5,0.4,1.0,1.0,16.943300932679005,-1.7770169517764147e-28
2.1,2.0,19.5,0.4,1.0,1.0,16.910637119956988,1.0378180960147319e-29
2.9,2.0,19.4,0.4,1.0,1.0,17.093360882609414,-4.210990674012641e-29
2.8,2.0,19.4,0.4,1.0,1.0,17.060353444639976,1.819328331632695e-25
2.7,2.0,19.4,0.4,1.0,1.0,17.02735938214177,-2.3069641630241427e-30
2.6,2.0,19.4,0.4,1.0,0.9999999999999999,16.99438627453685,1.5367954954400388e-32
2.5,2.0,19.4,0.4,1.0,1.0,16.96143582631714,-1.1125555782405585e-28
2.4,2.0,19.4,0.4,1.0,1.0,16.928507313657914,3.5107166813047707e-28
3.1,2.0,19.3,0.4,1.0,1.0,17.08074759500722,-1.28321288033528e-31
3.0,2.0,19.3,0.4,0.9999999999999999,1.0,17.0474813057815,1.2347633004768925e-28
2.9,2.0,19.3,0.4,1.0,1.0,17.014237729397536,6.771724881266947e-29
2.8,2.0,19.3,0.4,1.0,1.0,16.981026942765876,8.168313358123861e-22
2.7,2.0,19.3,0.4,1.0,1.0,16.94782983777522,1.0048807265085527e-27
2.6,2.0,19.3,0.4,1.0,1.0,16.91465452560048,1.93092138934722e-28
3.3,2.0,19.2,0.4,1.0,1.0,17.069104971572493,-1.7882119562837343e-28
3.2,2.0,19.2,0.4,1.0,1.0,17.035587415698036,-1.2573424170248954e-28
3.1,2.0,19.2,0.4,1.0,1.0,17.002101009943956,9.652088660259588e-28
3.0,2.0,19.2,0.4,1.0,1.0,16.968628192263953,-2.0333496743975234e-27
2.9,2.0,19.2,0.4,1.0,1.0,16.935178520871755,6.358661473752819e-28
2.8,2.0,19.2,0.4,1.0,1.0,16.901761837236034,2.576917734712388e-28
3.6,2.0,19.1,0.4,1.0,1.0,17.092266422481853,-1.146113649189247e-26
3.5,2.0,19.1,0.4,1.0,1.0,17.05847099193329,1.2277590794365871e-27
3.4,2.0,19.1,0.4,1.0,1.0,17.02469809307698,4.250904667485516e-30
3.3,2.0,19.1,0.4,1.0,1.0,16.990947610525918,7.330648850193149e-29
3.2,2.0,19.1,0.4,1.0,1.0,16.9572260925066,2.1929287096249155e-28
3.1,2.0,19.1,0.4,1.0,1.0,16.92352435843192,-2.296430789378938e-28
3.8,2.0,19.0,0.4,1.0,1.0,17.082915930829714,4.8102539853196296e-29
3.7,2.0,19.0,0.4,1.0,1.0,17.048860165325447,2.7416682827642563e-30
3.6,2.0,19.0,0.4,1.0,1.0,17.014825177631234,1.0870272334286844e-27
3.5,2.0,19.0,0.4,1.0,1.0,16.980816954882076,-5.526564629995972e-30
3.4,2.0,19.0,0.4,1.0,1.0,16.94683115915476,6.437178016144995e-29
3.3,2.0,19.0,0.4,1.0,1.0,16.91286762364829,-2.9515928144131733e-30
4.0,2.0,18.9,0.4,1.0,1.0,17.074614921528173,-2.1149267127397112e-28
3.9,2.0,18.9,0.4,1.0,0.9999999999999999,17.040292807925066,-3.992227625614164e-30
3.8,2.0,18.9,0.4,1.0,1.0,17.00599625443481,-3.265152785553067e-29
