pluto_spin_ini,charon_spin_ini,orbital semimajor axis_ini,eccentricity_ini,pluto_spin_fin,charon_spin_fin,orbital semimajor axis_fin,eccentricity_fin
1.1,2.0,18.4,0.3,1.0,1.0,17.08434066026421,7.074559939270974e-30
1.3,2.0,18.3,0.3,1.0,1.0,17.067522818796046,-3.8443495580611655e-28
1.2,2.0,18.3,0.3,1.0,1.0,17.031505799735587,1.022603267810602e-28
1.1,2.0,18.3,0.3,1.0,1.0,16.99550900774003,5.17589911432622e-28
1.6,2.0,18.2,0.3,1.0,0.9999999999999999,17.088094965026905,1.9592078168843992e-30
1.5,2.0,18.2,0.3,1.0,1.0,17.051764483915328,9.230461815892067e-28
1.4,2.0,18.2,0.3,1.0,1.0,17.015460708490235,-3.203632701161304e-33
1.3,2.0,18.2,0.3,1.0000000000000002,1.0,16.97918429998222,5.343081771917593e-30
1.2,2.0,18.2,0.3,1.0,1.0,16.94293529598539,9.27657286035762e-30
1.1,2.0,18.2,0.3,1.0,1.0,16.906706553537536,-4.726663544554425e-30
1.8,2.0,18.1,0.3,1.0,1.0,17.07371610912461,3.638411852685551e-30
1.7,2.0,18.1,0.3,1.0,1.0,17.037094940668574,-9.761797272978232e-22
1.6,2.0,18.1,0.3,1.0,0.9999999999999999,17.000500880745342,-6.129414195355893e-29
1.5,2.0,18.1,0.3,1.0,1.0,16.963934020982094,-1.658382378522797e-32
1.4,2.0,18.1,0.3,1.0,1.0,16.927394297955438,-4.005439652884921e-29
2.1,2.0,18.0,0.3,1.0,1.0,17.097399809871142,-4.201874081170612e-29
2.0,2.0,18.0,0.3,1.0,1.0,17.060455060855563,-1.0461629203362056e-27
1.9,2.0,18.0,0.3,1.0,1.0,17.023538333393564,1.1740997544816649e-27
1.8,2.0,18.0,0.3,1.0,1.0,16.98664918708926,1.163113502948392e-27
1.7,2.0,18.0,0.3,1.0,1.0,16.949787670228243,5.661320277506565e-30
1.6,2.0,18.0,0.3,1.0,1.0,16.912953711126573,-4.104229200310143e-28
2.3,2.0,17.9,0.3,1.0,1.0,17.085581821185848,3.770267719591621e-27
2.2,2.0,17.9,0.3,1.0,1.0,17.04834034757394,-1.8947979474402e-30
